# name                instrument feh0  e_feh0 feh1  e_feh1 feh                 e_feh source         shift  solar_scale  RA                 DEC                   type    ogleid   monson_id ID_ASAS       use    use_id        keep oo_class Nep  period   totamp A1    A2    A3    A1_e  A2_e  A3_e  phi1   phi2  phi3   phi1_e phi2_e phi3_e phi21  phi21_e phi31 phi31_e meanmag meanmag_e cost   phcov phcov2 snr    Npt  order minmax
  SMC-RR143874        MagE       -2.34 0.17   -2.34 0.39   -2.3399999141693115 0.2   Haschke2012    0.0    Anders&Gr89  11.927375000000001 -72.7209722222222     RRab    smc0912  NaN       NaN           ogle   smc0912       0.0  1.0      ""   ""       ""     ""    ""    ""    ""    ""    ""    ""     ""    ""     ""     ""     ""     ""     ""      ""    ""      ""      ""        ""     ""    ""     ""     ""   ""    ""     
  U_Com               SARG-3     -1.42 0.15   -1.41 0.17   -1.4149999618530273 0.088 Pancino2015    -0.259 Grevesse1998 190.01330916666663 27.498925555555555    RRc     NaN      NaN       124003+2729.9 asas   124003+2729.9 1.0  ""       109  0.292738 0.303  0.147 0.029 0.007 0.003 0.003 0.003 0.005  3.593 0.759  0.018  0.096  0.389  9.8673 0.0984  7.029 0.392   11.318  0.002     0.0901 0.96  0.959  77.5   109  4     0.416  
  X_Ari               APO        -2.19 0.17   -2.1  0.23   -2.1449999809265137 0.15  Pancino2015    -0.259 Grevesse1998 47.128685          10.445894722222222    RRab    NaN      NaN       030831+1026.8 asas   030831+1026.8 1.0  2.0      131  0.65117  0.638  0.207 0.1   0.077 0.002 0.002 0.002 0.003  2.626 -0.715 0.007  0.016  0.02   8.9041 0.0197  5.56  0.031   8.849   0.001     0.0058 0.972 0.957  749.0  131  8     0.644  
  RV_UMa              SARG-1     -1.27 0.12   -1.23 0.13   -1.25               0.088 Pancino2015    -0.259 Grevesse1998 203.32534958333332 53.98738888888889     RRab-BL NaN      RVUMa     NaN           monson RVUMa         1.0  1.0      333  0.46806  0.565  0.261 0.091 0.032 0.002 0.002 0.002 0.003  2.504 -1.165 0.006  0.019  0.051  8.7805 0.0232  5.108 0.056   10.365  0.001     0.2806 0.963 0.834  235.3  333  7     0.723  
  RX_Cet              SARG-1     -1.38 0.13   -1.39 0.09   -1.3849999904632568 0.088 Pancino2015    -0.259 Grevesse1998 8.409501249999998  -15.487445555555555   RRab-BL NaN      NaN       003338-1529.2 asas   003338-1529.2 1.0  1.0      124  0.573737 0.388  0.167 0.054 0.033 0.006 0.006 0.006 -0.007 2.78  -0.089 0.037  0.119  0.186  9.0762 0.1385  6.214 0.236   10.933  0.004     0.0855 0.96  0.941  111.7  124  4     0.518  
  VY_Ser              Palomar    -1.72 0.14   -1.64 0.15   -1.68               0.1   Clementini1995 -0.138 Asplund2009  232.75802875       1.6838230555555556    RRab    NaN      NaN       153102+0141.0 asas   153102+0141.0 1.0  2.0      242  0.714097 0.44   0.155 0.075 0.044 0.002 0.002 0.002 0.002  3.099 0.109  0.013  0.026  0.042  9.3779 0.0353  6.386 0.056   9.533   0.001     0.0226 0.984 0.98   485.8  242  8     0.487  
  V_Ind               HARPS      -1.28 0.16   -1.3  0.21   -1.2899999618530273 0.11  Pancino2015    -0.259 Grevesse1998 317.8745916666666  -45.07455305555556    RRab    NaN      NaN       211130-4504.5 asas   211130-4504.5 1.0  1.0      189  0.479601 0.702  0.239 0.109 0.081 0.002 0.002 0.002 -0.001 2.632 -0.741 0.009  0.021  0.027  8.9178 0.0291  5.546 0.039   9.501   0.001     0.0231 0.967 0.978  622.7  189  8     0.703  
  V440_Sgr            Palomar    -1.14 0.18   -1.08 0.12   -1.11               0.1   Clementini1995 -0.138 Asplund2009  293.08659416666666 -23.853543611111114   RRab    NaN      V0440Sgr  NaN           monson V0440Sgr      1.0  1.0      779  0.477479 0.814  0.26  0.125 0.099 0.001 0.001 0.001 0.003  2.524 -0.937 0.005  0.01   0.013  8.8019 0.0149  5.338 0.02    9.827   0.001     0.1136 0.99  0.802  1357.1 779  8     0.816  
  BK_Tuc              UVES-2     -1.6  0.11   -1.63 0.08   -1.6150000095367432 0.124 Pancino2015    -0.259 Grevesse1998 352.38882125       -72.5443875           RRab    NaN      NaN       232933-7232.7 asas   232933-7232.7 1.0  1.0      366  0.550068 0.655  0.217 0.102 0.08  0.006 0.006 0.006 0.007  2.652 -0.909 0.03   0.064  0.081  8.9211 0.0869  5.354 0.124   12.299  0.005     0.5244 0.984 0.982  205.9  366  7     0.827  
  ASAS-J110522-2641.0 duPont     -1.83 0.17   -1.77 0.28   -1.7999999523162842 0.053 Govea2014      0.16   NaN          166.34134041666667 -26.684565555555555   RRc-BL  NaN      NaN       110522-2641.0 asas   110522-2641.0 1.0  ""       314  0.294456 0.2    0.096 0.008 0.002 0.001 0.001 0.001 0.019  3.09  1.198  0.015  0.176  0.816  9.3348 0.1792  7.423 0.814   11.526  0.001     0.2568 0.984 0.986  83.4   314  3     0.359  
  X_Ari               Keck       -2.75 0.08   -2.74 0.17   -2.74               0.09  Nemec2013      -0.09  Asplund2009  47.128685          10.445894722222222    RRab    NaN      NaN       030831+1026.8 asas   030831+1026.8 0.0  2.0      131  0.65117  0.638  0.207 0.1   0.077 0.002 0.002 0.002 0.003  2.626 -0.715 0.007  0.016  0.02   8.9041 0.0197  5.56  0.031   8.849   0.001     0.0058 0.972 0.957  749.0  131  8     0.644  
  VW_Scl              UVES-2     -1.32 0.08   -1.31 0.06   -1.315000057220459  0.124 Pancino2015    -0.259 Grevesse1998 19.562376666666665 -39.21245722222223    RRab    NaN      NaN       011815-3912.8 asas   011815-3912.8 1.0  2.0      138  0.510913 0.844  0.276 0.145 0.092 0.003 0.003 0.003 -0.001 2.584 -0.874 0.012  0.025  0.036  8.8695 0.0329  5.413 0.049   10.662  0.002     0.0306 0.966 0.97   465.6  138  8     0.852  
  RV_UMa              SARG-2     -1.16 0.1    -1.16 0.14   -1.159999966621399  0.088 Pancino2015    -0.259 Grevesse1998 203.32534958333332 53.98738888888889     RRab-BL NaN      RVUMa     NaN           monson RVUMa         1.0  1.0      333  0.46806  0.565  0.261 0.091 0.032 0.002 0.002 0.002 0.003  2.504 -1.165 0.006  0.019  0.051  8.7805 0.0232  5.108 0.056   10.365  0.001     0.2806 0.963 0.834  235.3  333  7     0.723  
  V_Ind               UVES-1     -1.33 0.08   -1.31 0.12   -1.3199999332427979 0.124 Pancino2015    -0.259 Grevesse1998 317.8745916666666  -45.07455305555556    RRab    NaN      NaN       211130-4504.5 asas   211130-4504.5 1.0  1.0      189  0.479601 0.702  0.239 0.109 0.081 0.002 0.002 0.002 -0.001 2.632 -0.741 0.009  0.021  0.027  8.9178 0.0291  5.546 0.039   9.501   0.001     0.0231 0.967 0.978  622.7  189  8     0.703  
  BK_Tuc              UVES-1     -1.8  0.1    -1.76 0.06   -1.7799999713897705 0.124 Pancino2015    -0.259 Grevesse1998 352.38882125       -72.5443875           RRab    NaN      NaN       232933-7232.7 asas   232933-7232.7 1.0  1.0      366  0.550068 0.655  0.217 0.102 0.08  0.006 0.006 0.006 0.007  2.652 -0.909 0.03   0.064  0.081  8.9211 0.0869  5.354 0.124   12.299  0.005     0.5244 0.984 0.982  205.9  366  7     0.827  
  ASAS-J110522-2641.0 duPont     -1.82 0.17   -1.76 0.2    -1.7899999618530273 0.053 Govea2014      0.16   NaN          166.34134041666667 -26.684565555555555   RRc-BL  NaN      NaN       110522-2641.0 asas   110522-2641.0 1.0  ""       314  0.294456 0.2    0.096 0.008 0.002 0.001 0.001 0.001 0.019  3.09  1.198  0.015  0.176  0.816  9.3348 0.1792  7.423 0.814   11.526  0.001     0.2568 0.984 0.986  83.4   314  3     0.359  
  VX_Her              SARG-2     -1.73 0.19   -1.76 0.03   -1.7450000047683716 0.088 Pancino2015    -0.259 Grevesse1998 247.6700108333333  18.366825277777778    RRab    NaN      VXHer     163041+1822.0 monson VXHer         0.0  1.0      262  0.455359 0.885  0.281 0.135 0.101 0.002 0.002 0.002 -0.003 2.434 -1.203 0.008  0.018  0.023  8.7219 0.0258  5.088 0.035   10.272  0.002     0.0292 0.959 0.833  984.3  262  8     0.874  
  ST_Boo              Palomar    -1.74 0.12   -1.56 0.16   -1.65               0.1   Clementini1995 -0.138 Asplund2009  232.66345874999996 35.784531666666666    RRab-BL NaN      STBoo     NaN           monson STBoo         1.0  2.0      252  0.622291 0.674  0.243 0.126 0.056 0.002 0.002 0.002 -0.0   2.699 -0.532 0.006  0.013  0.028  8.9821 0.0186  5.752 0.036   10.504  0.001     0.0376 0.952 0.614  618.6  252  6     0.726  
  X_Ari               MagE       -2.61 0.23   -2.62 0.28   -2.614999771118164  0.2   Haschke2012    0.0    Anders&Gr89  47.12866666666667  10.445894444444441    RRab    NaN      NaN       030831+1026.8 asas   030831+1026.8 0.0  2.0      131  0.65117  0.638  0.207 0.1   0.077 0.002 0.002 0.002 0.003  2.626 -0.715 0.007  0.016  0.02   8.9041 0.0197  5.56  0.031   8.849   0.001     0.0058 0.972 0.957  749.0  131  8     0.644  
  VW_Scl              UVES-3     -1.16 0.1    -1.23 0.12   -1.1949999332427979 0.124 Pancino2015    -0.259 Grevesse1998 19.562376666666665 -39.21245722222223    RRab    NaN      NaN       011815-3912.8 asas   011815-3912.8 1.0  2.0      138  0.510913 0.844  0.276 0.145 0.092 0.003 0.003 0.003 -0.001 2.584 -0.874 0.012  0.025  0.036  8.8695 0.0329  5.413 0.049   10.662  0.002     0.0306 0.966 0.97   465.6  138  8     0.852  
  V_Ind               HARPS      -1.43 0.17   -1.55 0.15   -1.4900000095367432 0.11  Pancino2015    -0.259 Grevesse1998 317.8745916666666  -45.07455305555556    RRab    NaN      NaN       211130-4504.5 asas   211130-4504.5 1.0  1.0      189  0.479601 0.702  0.239 0.109 0.081 0.002 0.002 0.002 -0.001 2.632 -0.741 0.009  0.021  0.027  8.9178 0.0291  5.546 0.039   9.501   0.001     0.0231 0.967 0.978  622.7  189  8     0.703  
  SS_Leo              UVES-2     -1.46 0.07   -1.46 0.06   -1.4600000381469727 0.124 Pancino2015    -0.259 Grevesse1998 173.47705625       -0.033343055555555556 RRab    NaN      NaN       113355-0002.0 asas   113355-0002.0 1.0  2.0      242  0.626335 0.727  0.236 0.122 0.081 0.002 0.002 0.002 -0.0   2.715 -0.633 0.01   0.019  0.03   8.9984 0.0272  5.65  0.043   10.572  0.002     0.0374 0.979 0.974  639.5  242  8     0.772  
  BK_Tuc              UVES-3     -1.62 0.12   -1.65 0.08   -1.6349999904632568 0.124 Pancino2015    -0.259 Grevesse1998 352.38882125       -72.5443875           RRab    NaN      NaN       232933-7232.7 asas   232933-7232.7 1.0  1.0      366  0.550068 0.655  0.217 0.102 0.08  0.006 0.006 0.006 0.007  2.652 -0.909 0.03   0.064  0.081  8.9211 0.0869  5.354 0.124   12.299  0.005     0.5244 0.984 0.982  205.9  366  7     0.827  
  ASAS-J110522-2641.0 duPont     -1.8  0.15   -1.82 0.25   -1.809999942779541  0.053 Govea2014      0.16   NaN          166.34134041666667 -26.684565555555555   RRc-BL  NaN      NaN       110522-2641.0 asas   110522-2641.0 1.0  ""       314  0.294456 0.2    0.096 0.008 0.002 0.001 0.001 0.001 0.019  3.09  1.198  0.015  0.176  0.816  9.3348 0.1792  7.423 0.814   11.526  0.001     0.2568 0.984 0.986  83.4   314  3     0.359  
  VX_Her              Palomar    -1.68 0.12   -1.42 0.14   -1.55               0.1   Clementini1995 -0.138 Asplund2009  247.6700108333333  18.366825277777778    RRab    NaN      VXHer     163041+1822.0 monson VXHer         1.0  1.0      262  0.455359 0.885  0.281 0.135 0.101 0.002 0.002 0.002 -0.003 2.434 -1.203 0.008  0.018  0.023  8.7219 0.0258  5.088 0.035   10.272  0.002     0.0292 0.959 0.833  984.3  262  8     0.874  
  ST_Boo              Keck       -1.66 0.12   -1.6  0.04   -1.62               0.06  Nemec2013      -0.09  Asplund2009  232.66345874999996 35.784531666666666    RRab-BL NaN      STBoo     NaN           monson STBoo         1.0  2.0      252  0.622291 0.674  0.243 0.126 0.056 0.002 0.002 0.002 -0.0   2.699 -0.532 0.006  0.013  0.028  8.9821 0.0186  5.752 0.036   10.504  0.001     0.0376 0.952 0.614  618.6  252  6     0.726  
  VW_Scl              UVES-1     -1.18 0.11   -1.26 0.11   -1.2200000286102295 0.124 Pancino2015    -0.259 Grevesse1998 19.562376666666665 -39.21245722222223    RRab    NaN      NaN       011815-3912.8 asas   011815-3912.8 1.0  2.0      138  0.510913 0.844  0.276 0.145 0.092 0.003 0.003 0.003 -0.001 2.584 -0.874 0.012  0.025  0.036  8.8695 0.0329  5.413 0.049   10.662  0.002     0.0306 0.966 0.97   465.6  138  8     0.852  
  VX_Her              Keck       -1.22 0.17   -1.23 0.17   -1.23               0.12  Nemec2013      -0.09  Asplund2009  247.6700108333333  18.366825277777778    RRab    NaN      VXHer     163041+1822.0 monson VXHer         1.0  1.0      262  0.455359 0.885  0.281 0.135 0.101 0.002 0.002 0.002 -0.003 2.434 -1.203 0.008  0.018  0.023  8.7219 0.0258  5.088 0.035   10.272  0.002     0.0292 0.959 0.833  984.3  262  8     0.874  
  V_Ind               HARPS      -1.17 0.1    -1.18 0.3    -1.1749999523162842 0.11  Pancino2015    -0.259 Grevesse1998 317.8745916666666  -45.07455305555556    RRab    NaN      NaN       211130-4504.5 asas   211130-4504.5 1.0  1.0      189  0.479601 0.702  0.239 0.109 0.081 0.002 0.002 0.002 -0.001 2.632 -0.741 0.009  0.021  0.027  8.9178 0.0291  5.546 0.039   9.501   0.001     0.0231 0.967 0.978  622.7  189  8     0.703  
  SS_Leo              UVES-1     -1.49 0.08   -1.47 0.05   -1.4800000190734863 0.124 Pancino2015    -0.259 Grevesse1998 173.47705625       -0.033343055555555556 RRab    NaN      NaN       113355-0002.0 asas   113355-0002.0 1.0  2.0      242  0.626335 0.727  0.236 0.122 0.081 0.002 0.002 0.002 -0.0   2.715 -0.633 0.01   0.019  0.03   8.9984 0.0272  5.65  0.043   10.572  0.002     0.0374 0.979 0.974  639.5  242  8     0.772  
  SZ_Gem              SARG-1     -1.65 0.13   -1.59 0.1    -1.6200000047683716 0.088 Pancino2015    -0.259 Grevesse1998 118.43105624999998 19.273314166666665    RRab    NaN      NaN       075344+1916.4 asas   075344+1916.4 1.0  1.0      173  0.501134 0.865  0.276 0.13  0.098 0.004 0.005 0.005 -0.004 2.515 -1.065 0.016  0.037  0.045  8.8066 0.0513  5.231 0.067   11.302  0.003     0.0884 0.971 0.968  345.7  173  8     0.908  
  ASAS-J162158+0244.5 duPont     -1.96 0.09   -1.91 0.17   -1.934999942779541  0.053 Govea2014      0.16   NaN          245.49166666666667 2.7416666666666667    RRc-BL  NaN      NaN       162158+0244.5 asas   162158+0244.5 1.0  ""       285  0.323811 0.186  0.084 0.008 0.003 0.005 0.004 0.003 0.019  1.171 1.493  0.053  1.152  1.243  7.4172 1.1895  7.72  1.234   12.377  0.003     0.7864 0.973 0.978  32.6   285  3     0.599  
  ASAS-J110522-2641.0 duPont     -1.64 0.17   -1.65 0.39   -1.6449999809265137 0.053 Govea2014      0.16   NaN          166.34134041666667 -26.684565555555555   RRc-BL  NaN      NaN       110522-2641.0 asas   110522-2641.0 1.0  ""       314  0.294456 0.2    0.096 0.008 0.002 0.001 0.001 0.001 0.019  3.09  1.198  0.015  0.176  0.816  9.3348 0.1792  7.423 0.814   11.526  0.001     0.2568 0.984 0.986  83.4   314  3     0.359  
  SU_Dra              McDonald   -1.96 0.15   -1.8  0.15   -1.8                0.15  Fernley1996    0.001  Grevesse1993 174.48586291666666 67.32973888888888     RRab    NaN      SUDra     NaN           monson SUDra         1.0  2.0      658  0.66042  0.656  0.213 0.114 0.077 0.001 0.002 0.001 0.009  2.861 -0.444 0.007  0.013  0.019  9.1258 0.0193  5.811 0.028   9.3     0.001     0.046  0.973 0.855  1380.9 658  8     0.73   
  VW_Scl              UVES-4     -1.3  0.1    -1.3  0.11   -1.2999999523162842 0.124 Pancino2015    -0.259 Grevesse1998 19.562376666666665 -39.21245722222223    RRab    NaN      NaN       011815-3912.8 asas   011815-3912.8 1.0  2.0      138  0.510913 0.844  0.276 0.145 0.092 0.003 0.003 0.003 -0.001 2.584 -0.874 0.012  0.025  0.036  8.8695 0.0329  5.413 0.049   10.662  0.002     0.0306 0.966 0.97   465.6  138  8     0.852  
  VX_Her              SARG-1     -1.49 0.1    -1.51 0.05   -1.5                0.088 Pancino2015    -0.259 Grevesse1998 247.6700108333333  18.366825277777778    RRab    NaN      VXHer     163041+1822.0 monson VXHer         1.0  1.0      262  0.455359 0.885  0.281 0.135 0.101 0.002 0.002 0.002 -0.003 2.434 -1.203 0.008  0.018  0.023  8.7219 0.0258  5.088 0.035   10.272  0.002     0.0292 0.959 0.833  984.3  262  8     0.874  
  UV_Vir              UVES-1     -1.1  0.1    -1.23 0.25   -1.1649999618530273 0.124 Pancino2015    -0.259 Grevesse1998 185.31970541666666 0.3675108333333333    RRab-BL NaN      NaN       122117+0022.0 asas   122117+0022.0 1.0  1.0      213  0.587084 0.597  0.211 0.108 0.06  0.005 0.005 0.005 -0.007 2.831 -0.58  0.021  0.042  0.084  9.1289 0.0602  5.725 0.108   11.428  0.003     0.1267 0.97  0.965  246.3  213  5     0.711  
  V_Ind               HARPS      -1.18 0.09   -1.21 0.11   -1.1949999332427979 0.11  Pancino2015    -0.259 Grevesse1998 317.8745916666666  -45.07455305555556    RRab    NaN      NaN       211130-4504.5 asas   211130-4504.5 1.0  1.0      189  0.479601 0.702  0.239 0.109 0.081 0.002 0.002 0.002 -0.001 2.632 -0.741 0.009  0.021  0.027  8.9178 0.0291  5.546 0.039   9.501   0.001     0.0231 0.967 0.978  622.7  189  8     0.703  
  DH_Hya              SARG-3     -1.48 0.2    -1.55 0.26   -1.5149999856948853 0.088 Pancino2015    -0.259 Grevesse1998 135.06178125       -9.778970277777779    RRab    NaN      NaN       090015-0946.7 asas   090015-0946.7 1.0  1.0      220  0.489003 0.863  0.267 0.126 0.101 0.005 0.005 0.005 -0.011 2.533 -1.084 0.017  0.038  0.046  8.8372 0.0509  5.231 0.067   11.735  0.003     0.1218 0.977 0.97   368.2  220  8     0.892  
  RR_Cet              Keck       -1.17 0.15   -1.19 0.08   -1.18               0.09  Nemec2013      -0.09  Asplund2009  23.034054999999995 1.3417305555555554    RRab    NaN      RRCet     013208+0120.5 monson RRCet         1.0  1.0      435  0.553028 0.613  0.194 0.101 0.073 0.001 0.001 0.001 -0.002 2.761 -0.51  0.008  0.014  0.022  9.0486 0.0192  5.779 0.033   9.235   0.001     0.044  0.943 0.788  900.6  435  8     0.66   
  ASAS-J162158+0244.5 duPont     -1.89 0.19   -1.82 0.25   -1.8550000190734863 0.053 Govea2014      0.16   NaN          245.49166666666667 2.7416666666666667    RRc-BL  NaN      NaN       162158+0244.5 asas   162158+0244.5 1.0  ""       285  0.323811 0.186  0.084 0.008 0.003 0.005 0.004 0.003 0.019  1.171 1.493  0.053  1.152  1.243  7.4172 1.1895  7.72  1.234   12.377  0.003     0.7864 0.973 0.978  32.6   285  3     0.599  
  ASAS-J110522-2641.0 duPont     -1.79 0.22   -1.73 0.32   -1.7599999904632568 0.053 Govea2014      0.16   NaN          166.34134041666667 -26.684565555555555   RRc-BL  NaN      NaN       110522-2641.0 asas   110522-2641.0 1.0  ""       314  0.294456 0.2    0.096 0.008 0.002 0.001 0.001 0.001 0.019  3.09  1.198  0.015  0.176  0.816  9.3348 0.1792  7.423 0.814   11.526  0.001     0.2568 0.984 0.986  83.4   314  3     0.359  
  SW_And              McDonald   -0.27 0.15   -0.24 0.15   -0.24               0.15  Fernley1996    0.001  Grevesse1993 5.929540416666667  29.40100888888889     RRab-BL NaN      SWAnd     NaN           monson SWAnd         1.0  1.0      1067 0.442262 0.579  0.191 0.107 0.065 0.001 0.001 0.001 -0.001 2.993 -0.141 0.005  0.008  0.012  9.2784 0.0127  6.145 0.019   9.184   0.001     0.0767 0.99  0.988  1575.4 1067 8     0.62   
  VW_Scl              UVES-5     -1.46 0.15   -1.43 0.1    -1.4449999332427979 0.124 Pancino2015    -0.259 Grevesse1998 19.562376666666665 -39.21245722222223    RRab    NaN      NaN       011815-3912.8 asas   011815-3912.8 1.0  2.0      138  0.510913 0.844  0.276 0.145 0.092 0.003 0.003 0.003 -0.001 2.584 -0.874 0.012  0.025  0.036  8.8695 0.0329  5.413 0.049   10.662  0.002     0.0306 0.966 0.97   465.6  138  8     0.852  
